Company,Month,Revenue,Expenses,Profit
Le-Floyd,2001-03,16786.61,14253.5,2533.1100000000006
Jones and Sons,2013-09,71441.94,70178.29,1263.6500000000087
"Sandoval, Smith and Hudson",2024-03,17816.29,17470.22,346.0699999999997
Smith and Sons,2022-08,97116.81,44174.89,52941.92
Hernandez PLC,2009-09,31154.9,25535.55,5619.350000000002
Hill-Flores,1973-08,63618.37,18893.34,44725.03
Cabrera-Mason,1997-10,39082.84,23307.91,15774.929999999997
"Shepherd, Rodriguez and Jimenez",1986-04,40743.09,34387.09,6356.0
"Jacobs, Travis and Huber",2021-09,13825.06,12111.91,1713.1499999999996
"Price, Turner and Jones",1997-08,54123.61,36165.99,17957.620000000003
Miller-Miller,1998-09,66139.75,23240.78,42898.97
Lawson-Schneider,2000-09,33228.39,23520.42,9707.970000000001
Smith-Robles,2022-02,89129.79,54351.05,34778.73999999999
Chavez-Ford,1975-08,92706.21,23414.57,69291.64000000001
"Davis, Hall and Cameron",2021-08,63366.17,55004.16,8362.009999999995
"James, Johnson and Parsons",2008-02,94111.22,63982.84,30128.380000000005
"Johnson, Hill and Jimenez",1978-06,52171.32,12493.26,39678.06
Love-Reed,2005-10,34596.5,30122.63,4473.869999999999
"Mcconnell, Edwards and Johnson",2019-01,48459.31,39652.18,8807.129999999997
"Perez, Cameron and Sherman",1976-08,19617.63,16162.17,3455.460000000001
Trevino-Sims,1972-10,12906.19,10468.64,2437.550000000001
Griffin Inc,1995-12,51445.19,46418.28,5026.9100000000035
Bell and Sons,1995-10,90516.51,32504.01,58012.5
Frey Inc,1974-11,34230.1,27949.95,6280.149999999998
"Bradley, Oneal and Young",1991-02,91688.93,60644.0,31044.929999999993
Roach-Smith,2004-06,24975.2,21043.4,3931.7999999999993
Gray-Fuller,2016-07,14097.65,14055.92,41.72999999999956
Brown Ltd,2001-10,30758.27,27943.8,2814.470000000001
"Robles, Santiago and Edwards",1973-12,19334.01,11180.47,8153.539999999999
Bright LLC,2001-12,54180.83,52073.17,2107.6600000000035
"Smith, Wood and Tucker",2012-06,78229.5,59452.41,18777.089999999997
Lewis LLC,2014-05,96809.86,24528.37,72281.49
Norris-Wood,1988-09,77204.96,28264.06,48940.90000000001
Perry-Anderson,1979-10,22680.11,15249.62,7430.49
Ramirez-Guzman,2009-03,14940.37,11559.29,3381.08
Brewer and Sons,1998-01,49524.53,35478.51,14046.019999999997
"Rubio, Daniels and Allen",2000-09,63641.28,24853.57,38787.71
Salazar-Glass,1976-07,80899.47,34289.17,46610.3
"Garcia, Morse and Daniels",1989-09,31506.4,11907.51,19598.89
Peterson-Bailey,1999-03,15984.63,13015.81,2968.8199999999997
Hart Group,2005-02,71614.75,39157.31,32457.440000000002
"Allen, Pearson and Edwards",2003-11,49418.79,47149.9,2268.8899999999994
Dunn-Brown,1993-12,88826.85,70193.29,18633.560000000012
"Clark, Diaz and Payne",1981-05,40792.09,14761.23,26030.859999999997
"Horton, Marquez and Martin",1972-02,99546.19,85463.76,14082.430000000008
Brown Group,2009-04,58056.57,28601.21,29455.36
Hansen-Ayala,2002-05,43152.3,42128.11,1024.1900000000023
Page-Brown,1993-02,48074.97,30629.18,17445.79
"Rodriguez, Silva and Crawford",1998-07,38383.18,37222.15,1161.0299999999988
Johnson-Webb,1980-09,55896.23,41667.55,14228.68
Brown Inc,2024-04,12573.51,11426.84,1146.67
Good-Reynolds,2006-12,11954.19,10743.39,1210.800000000001
"Coleman, Mendoza and Johnson",2005-05,83291.83,57793.27,25498.560000000005
"Brown, Garcia and Oneal",2019-03,17974.37,16847.69,1126.6800000000003
"Brewer, Rivera and Carr",2009-07,33950.33,32271.98,1678.3500000000022
Martin-Chen,1994-11,38064.62,23738.42,14326.200000000004
Nunez-Ellis,2022-07,76671.45,45555.52,31115.93
Jones Group,1991-10,38402.25,19426.24,18976.01
Osborne Group,2018-08,41895.71,31048.7,10847.009999999998
Smith-West,2024-01,80041.66,32885.06,47156.600000000006
Lee Inc,1978-07,41282.96,13102.28,28180.68
"Torres, Lucero and Nichols",1979-08,33063.4,28069.54,4993.860000000001
Riddle-Gentry,2007-02,50689.14,28680.06,22009.079999999998
Freeman-Gomez,2012-08,11485.69,11298.62,187.0699999999997
Taylor-Guzman,1972-05,23189.16,13425.08,9764.08
Knight Inc,2017-08,39898.78,22592.82,17305.96
"Mitchell, Rodriguez and Stephens",2018-03,24174.03,22173.95,2000.079999999998
Flores and Sons,1988-01,27028.72,11822.98,15205.740000000002
Bernard-Nguyen,2015-10,87503.97,18226.39,69277.58
"Hale, Barker and Barber",2021-06,85220.69,19162.61,66058.08
"Barnett, Allen and Smith",1997-03,43933.86,43446.66,487.1999999999971
"Reed, Thomas and Russo",2006-07,71256.24,24199.76,47056.48000000001
White LLC,1983-04,61937.74,24431.67,37506.07
"Bell, Hill and Chung",1972-12,66633.08,65842.77,790.3099999999977
"Stafford, Gonzalez and Castro",2013-06,40875.3,19805.86,21069.440000000002
Garrett-Levy,1972-06,72718.36,26529.02,46189.34
"Sanchez, Gallegos and Kelley",1981-09,22977.42,22897.46,79.95999999999913
Lewis-Navarro,2011-10,65633.39,12527.78,53105.61
Brennan and Sons,2011-11,13412.8,11992.6,1420.199999999999
Melendez and Sons,2022-03,96142.42,71992.84,24149.58
Kramer Inc,1986-08,32744.82,10102.54,22642.28
"Miller, Mercado and Lopez",2023-06,27429.81,21649.08,5780.73
Clayton-Young,2010-08,48296.36,31174.13,17122.23
"Owen, Turner and Jackson",2023-06,72357.19,26825.99,45531.2
Nicholson-Cooper,2002-12,70082.7,10099.68,59983.02
"Smith, Carter and King",2009-11,92789.38,72223.4,20565.98000000001
Chapman Inc,2010-04,29005.69,14709.53,14296.159999999998
Whitaker-Lee,1995-08,81224.16,73412.48,7811.680000000008
Dixon Group,1973-02,86844.41,52725.1,34119.310000000005
Johnson-Hayes,1979-03,12135.14,10337.38,1797.7600000000002
"Rowe, Turner and Hardy",2014-09,61561.15,48449.6,13111.550000000003
Donaldson-Alexander,1970-01,18724.35,11102.23,7622.119999999999
"Williams, Davis and Thomas",2018-12,71394.1,20871.15,50522.950000000004
Stone-Cole,1993-10,81468.74,65140.71,16328.030000000006
"Harris, Bradley and Owens",2017-05,39258.34,31016.1,8242.239999999998
"Hernandez, Haney and Peters",1987-03,72494.99,68636.85,3858.1399999999994
"Smith, Campbell and Ortiz",2001-09,47296.41,32800.12,14496.29
"Rush, Solis and Anderson",1983-03,31654.59,27943.44,3711.1500000000015
Bennett Group,2011-09,23038.72,21691.6,1347.1200000000026
"Blankenship, Shields and Flores",2014-09,56130.11,54584.61,1545.5
Thompson-Smith,2013-03,60121.39,19967.32,40154.07
Kramer and Sons,2010-07,43991.64,14441.64,29550.0
Jackson-Li,2014-03,72226.46,67819.59,4406.87000000001
Hernandez PLC,1987-11,57547.55,27059.08,30488.47
"Shaffer, Waters and Brown",1994-12,89958.35,64411.44,25546.910000000003
"Hughes, Brown and Campbell",2018-11,44830.5,12892.0,31938.5
Ramirez Group,2021-06,17548.22,10013.37,7534.85
"Kline, Zamora and Cruz",1976-08,29490.86,10633.67,18857.190000000002
Bowman and Sons,1978-09,80630.51,25177.27,55453.23999999999
Ramsey-Hughes,1997-01,40504.88,18512.38,21992.499999999996
"Flores, Osborne and Gray",1983-06,47705.04,23134.16,24570.88
Velasquez-Ho,2017-07,68243.1,67961.21,281.8899999999994
"Lopez, Smith and Griffin",2010-09,73283.81,60455.92,12827.89
Burns-Watson,1997-10,84014.46,60589.57,23424.890000000007
"Medina, Brown and Golden",2023-10,64761.59,53378.53,11383.059999999998
Thompson-Miller,2004-09,85603.93,30986.32,54617.60999999999
"Wilson, Hess and Turner",1995-10,20096.1,15963.36,4132.739999999998
Sawyer-Hudson,2022-06,62264.17,37669.78,24594.39
Smith-Riley,1974-12,27054.09,18362.98,8691.11
"Maldonado, Murray and Reyes",2020-06,72094.15,37129.9,34964.24999999999
Garcia Group,2009-04,10084.28,10083.24,1.0400000000008731
"Oconnor, Lindsey and Jimenez",2010-10,30379.34,25127.53,5251.810000000001
Gutierrez-Price,2020-04,96905.51,82176.51,14729.0
"Lopez, Little and Ward",2020-01,38193.98,36171.7,2022.280000000006
Brooks and Sons,2016-05,10288.58,10200.69,87.88999999999942
Bruce Group,2010-10,11533.25,10352.72,1180.5300000000007
Whitaker LLC,2016-06,76069.9,22607.49,53462.40999999999
Rodriguez-Williams,2001-04,48702.13,18954.84,29747.289999999997
Smith PLC,2007-07,49202.54,29034.87,20167.670000000002
Pittman LLC,1996-06,90599.14,16939.69,73659.45
Haynes LLC,2004-06,55835.48,54919.45,916.0300000000061
Wilson Ltd,2021-06,71557.14,24940.11,46617.03
Mendez-Sellers,2015-04,81313.97,36933.08,44380.89
Roberts-Brooks,1992-07,66864.02,26837.98,40026.04000000001
Hendricks Ltd,1992-08,72289.38,42127.14,30162.240000000005
Burnett-Rodriguez,1987-07,14311.09,13581.34,729.75
"Moreno, Cummings and Reynolds",2022-01,64251.49,45397.57,18853.92
"Pierce, Davis and Martinez",2003-05,26259.57,22380.36,3879.209999999999
"Carter, Lopez and Sanders",2023-01,38636.5,11947.48,26689.02
"Ferguson, Stevenson and Garcia",2023-03,65000.22,44995.72,20004.5
Pham LLC,1979-08,82781.35,60590.33,22191.020000000004
Carter and Sons,1996-07,75592.08,38494.63,37097.450000000004
"Wilcox, Villanueva and Curtis",1974-11,14470.58,12416.75,2053.83
Warren Group,1971-11,33348.1,22838.41,10509.689999999999
"Williams, Arnold and Baker",2020-04,59756.95,49070.99,10685.96
Johnson-Young,2005-12,14270.47,13071.8,1198.67
Padilla-Castro,2001-03,62117.42,28321.01,33796.41
Bryan and Sons,2005-11,99990.75,14361.47,85629.28
Webb Group,2021-04,42281.91,14293.34,27988.570000000003
Myers-Adams,1999-07,23780.17,13767.92,10012.249999999998
Rice-Hudson,1987-05,93835.56,28509.16,65326.399999999994
Donaldson-Cannon,1999-10,60169.81,42055.87,18113.939999999995
"Lang, Turner and Simpson",1971-06,21756.8,15780.05,5976.75
Davidson Group,1978-10,37033.8,13691.81,23341.990000000005
"Morton, Serrano and Carter",1974-09,91007.86,65425.94,25581.92
Taylor and Sons,2009-02,63446.69,59221.72,4224.970000000001
Brown-Burke,2020-12,67842.27,57330.28,10511.990000000005
"Church, Richards and Underwood",1977-05,62533.95,32562.18,29971.769999999997
Neal LLC,2021-02,79265.47,39556.83,39708.64
Orozco-Reese,1988-05,16367.76,13250.67,3117.09
Krueger-Jacobs,2022-11,24177.79,12607.42,11570.37
King Group,1992-07,60198.84,42819.16,17379.679999999993
Ball and Sons,2001-01,40774.09,30121.23,10652.859999999997
Hernandez Inc,2010-07,56387.52,33497.43,22890.089999999997
Nolan-Andrews,1980-09,82331.83,62628.28,19703.550000000003
"Martin, Arnold and Parker",1995-12,81488.31,80128.1,1360.2099999999919
Aguirre LLC,2001-05,24381.28,15011.04,9370.239999999998
King and Sons,2023-09,54711.97,36976.39,17735.58
"Richardson, Russo and Martin",1977-03,22520.61,18187.37,4333.240000000002
Gonzalez Ltd,1984-02,82564.39,47955.44,34608.95
Reed-Cruz,1992-04,57969.59,38685.17,19284.42
"Petersen, Fowler and Brown",1989-04,46109.2,23654.26,22454.94
Townsend and Sons,2003-11,82961.7,79248.66,3713.0399999999936
Haley Group,1996-11,44405.45,12237.18,32168.269999999997
Lozano-Terry,2000-12,78124.95,13535.06,64589.89
Horton-Jones,1971-11,51498.74,31469.78,20028.96
Lambert and Sons,1980-08,52953.86,33130.25,19823.61
"Gonzalez, Barrett and Alexander",2001-04,76656.64,49132.77,27523.870000000003
Macdonald Ltd,2003-01,49855.18,18512.22,31342.96
"Schneider, Irwin and Griffith",1973-12,33417.21,13898.67,19518.54
"Cannon, Whitehead and Moore",1980-06,27732.97,23249.19,4483.7800000000025
Barajas Group,2010-01,41363.48,18621.95,22741.530000000002
"Obrien, Munoz and Herring",2012-06,57157.44,32152.88,25004.56
Smith Inc,2022-05,66412.14,14979.74,51432.4
"James, Berry and Tyler",2019-06,84377.56,51660.39,32717.17
Adkins PLC,1998-09,31151.29,18485.84,12665.45
Santiago Inc,2006-06,26697.39,24785.53,1911.8600000000006
Thomas PLC,2018-10,48101.01,16818.86,31282.15
Lee-Gray,1980-06,41995.4,28742.21,13253.190000000002
Rodriguez and Sons,1982-10,23590.03,12493.11,11096.919999999998
Anderson-Pierce,1994-11,66045.66,25112.07,40933.590000000004
Cook Inc,1985-10,41828.41,19014.93,22813.480000000003
Garrett-Raymond,1984-03,13159.68,10252.43,2907.25
"Reyes, Mccarthy and Gardner",1995-10,88491.75,14789.44,73702.31
Wang-Pearson,2021-02,51778.03,44932.73,6845.299999999996
Taylor Group,1993-07,58803.08,27667.1,31135.980000000003
"Jennings, Johnson and Andrade",1972-01,53016.99,26339.91,26677.079999999998
"Williams, Montgomery and Gray",1978-09,41538.61,35361.55,6177.059999999998
Cunningham-Jones,2023-05,92712.66,50403.89,42308.770000000004
Reed-Silva,1981-01,80884.03,40770.3,40113.729999999996
Smith and Sons,2010-05,57643.05,47214.36,10428.690000000002
Barnes PLC,1999-09,79180.15,40464.04,38716.10999999999
Shaw-Davis,1998-07,88573.39,16808.97,71764.42
"Patterson, Hernandez and Cobb",2020-02,39635.17,11115.4,28519.769999999997
Buchanan-Lopez,1971-04,38148.07,14495.5,23652.57
Wright Ltd,2002-01,61663.38,59688.59,1974.7900000000009
"White, Parker and Underwood",1973-03,54204.02,30620.69,23583.329999999998
"Wilkerson, Barrett and Fischer",1973-09,18915.36,16958.57,1956.7900000000009
Curtis-Christensen,2012-01,26422.6,17031.91,9390.689999999999
Schneider and Sons,2022-05,16686.61,12758.33,3928.2800000000007
"Fisher, Ford and Schmidt",1976-04,97529.64,28884.52,68645.12
Jackson-Lindsey,1973-10,16103.65,15097.07,1006.5799999999999
Rogers-Harding,1993-03,20962.78,14654.3,6308.48
"Dunlap, Park and Gomez",1970-07,76064.07,12546.52,63517.55
Howard Ltd,2018-11,20624.81,16208.86,4415.950000000001
Perez LLC,1982-01,14658.49,13253.03,1405.4599999999991
Wright-Garcia,2023-02,17105.89,16689.36,416.52999999999884
Bennett PLC,1978-07,43727.97,27989.85,15738.120000000003
"Torres, Hill and Thompson",2010-12,87640.3,56916.95,30723.350000000006
Garcia Inc,2016-01,99946.56,34076.2,65870.36
"Franklin, Stewart and Cannon",2011-03,86409.4,39942.46,46466.939999999995
Eaton-Davis,1988-07,52208.01,29334.9,22873.11
Edwards-Johnson,1985-05,24067.39,22020.18,2047.2099999999991
Peters LLC,2012-03,98742.29,97633.38,1108.909999999989
"Banks, Harper and Wood",1976-07,41287.66,29224.16,12063.500000000004
"Reed, Frye and Miles",2020-08,63157.02,42692.75,20464.269999999997
Caldwell PLC,2022-08,96052.77,57291.34,38761.43000000001
Weiss-Flores,2000-10,37513.1,26694.08,10819.019999999997
"Wilson, Smith and Rhodes",1970-07,22157.42,14021.62,8135.799999999997
Gomez Inc,2020-09,63123.31,20406.68,42716.63
Fleming-Rivas,1989-07,22331.18,17367.3,4963.880000000001
"Reyes, Larsen and Foster",2007-04,80634.38,72540.4,8093.9800000000105
Morgan LLC,1987-05,38361.61,17389.8,20971.81
"Brooks, Green and Wright",1985-11,73904.61,44124.57,29780.04
"Stewart, Keith and Benson",1984-01,25949.74,19840.49,6109.25
Bowman Ltd,1972-08,71787.47,36432.07,35355.4
Kaufman Group,2021-11,75694.41,52945.26,22749.15
Everett-West,2019-06,25394.42,23283.74,2110.6799999999967
Perry Ltd,1999-10,61813.33,27578.03,34235.3
Holder Ltd,2017-03,47429.69,28372.38,19057.31
Lane PLC,2006-05,91074.99,75313.96,15761.029999999999
"Adams, Alvarez and Pace",1992-06,40440.62,11423.57,29017.050000000003
Smith-Barnes,2005-07,96049.44,54391.58,41657.86
Riley-Curtis,1991-03,99517.21,29523.59,69993.62000000001
"Hamilton, Morrison and Meyer",1999-09,25503.15,10597.59,14905.560000000001
"Hart, Hoffman and Nelson",2003-04,23059.55,18373.32,4686.23
Thompson Group,1982-07,48198.8,20823.08,27375.72
Miles-Cardenas,2006-12,71016.91,53413.43,17603.480000000003
Taylor Group,2009-06,11753.54,10382.87,1370.67
Ross-Hopkins,1999-12,41449.81,15475.21,25974.6
King-Pearson,1978-01,94976.83,74732.77,20244.059999999998
Castaneda-Nelson,1976-02,30519.83,11635.82,18884.010000000002
Vega Ltd,1970-05,88735.82,74747.96,13987.86
"Stone, Beltran and Melendez",2004-07,98810.83,27204.94,71605.89
Jones-Downs,1980-12,79803.48,70423.32,9380.159999999989
"Lewis, Jones and Dunn",2007-12,34254.05,20114.94,14139.110000000004
Miller-Jackson,1992-04,83058.4,79649.12,3409.279999999999
Brown-Jones,1980-10,47718.93,36568.41,11150.519999999997
Smith Group,2019-07,91987.16,87728.21,4258.949999999997
Johnson-Schultz,1986-01,74837.2,74761.06,76.13999999999942
Webster-Beck,1990-07,75433.18,41528.72,33904.45999999999
Wright Group,1975-12,69396.45,46787.15,22609.299999999996
Allen-Francis,2000-01,18429.65,16207.78,2221.870000000001
Ward PLC,2016-12,66681.64,51113.17,15568.470000000001
Byrd-Dunn,2019-02,36033.59,30135.3,5898.289999999997
"Harris, Hill and Williams",1978-12,22486.05,16356.36,6129.689999999999
Soto LLC,2013-03,47603.26,20658.38,26944.88
"Nelson, Campbell and Thompson",1983-05,37926.72,21133.31,16793.41
"Nelson, Bennett and Garcia",1986-01,69540.5,16068.17,53472.33
Fisher-Benson,1977-11,20904.2,19840.82,1063.380000000001
Herrera Group,2019-01,21476.6,11729.29,9747.309999999998
Fisher-Hopkins,1992-12,52830.33,26853.03,25977.300000000003
Richards LLC,1980-12,53254.03,22789.99,30464.039999999997
"Owen, Palmer and Summers",2000-10,87755.64,15022.79,72732.85
"Graham, Cordova and Medina",1986-05,75963.79,33154.19,42809.59999999999
White and Sons,2022-02,28881.54,24703.63,4177.91
Mitchell-Rodriguez,1972-05,51053.26,16384.85,34668.41
Barrett-Gordon,1971-06,57486.07,26865.22,30620.85
Frazier-Nelson,2007-08,12991.35,10217.83,2773.5200000000004
Watts-Harris,1985-03,66354.96,23908.4,42446.560000000005
Figueroa Group,2007-09,37992.77,29506.53,8486.239999999998
Page Group,2016-03,30070.49,20486.9,9583.59
Galloway Group,2018-03,42805.21,10176.31,32628.9
"Jackson, Holmes and Stone",1974-03,71539.96,71181.61,358.3500000000058
"Johnson, Richards and Cooke",2011-10,55954.64,29732.28,26222.36
Golden-Kelley,2020-06,14134.45,10704.77,3429.6800000000003
Gray-Martin,1983-04,78164.55,49262.64,28901.910000000003
Buchanan-Nelson,2001-09,80296.1,42563.37,37732.73
"Clark, Gardner and Wood",2017-01,44692.44,36738.09,7954.350000000006
Compton-Martin,1990-10,32932.5,20631.24,12301.259999999998
Greene LLC,1974-12,15290.9,10287.5,5003.4
Barber-Lewis,1994-12,96448.29,22376.24,74072.04999999999
"King, Parks and Davis",2015-04,49333.92,38310.69,11023.229999999996
"Cole, Pratt and Robinson",1999-06,95607.3,53776.78,41830.520000000004
Wilson Group,1995-04,16483.7,13744.31,2739.3900000000012
"Dyer, Pierce and Jackson",1983-11,61536.3,42411.06,19125.240000000005
Booker and Sons,2001-12,57006.76,40976.29,16030.470000000001
Baker-Jordan,2018-06,89547.24,80870.01,8677.23000000001
"Lopez, Perez and Smith",1977-11,77887.52,61876.02,16011.500000000007
Moore-Evans,1999-06,33621.31,21499.77,12121.539999999997
"Tate, Blair and Braun",1992-06,80709.65,78194.18,2515.470000000001
"Fuller, Ortiz and Roberts",2011-08,59315.01,39818.02,19496.990000000005
"Jordan, Mcmahon and Irwin",2002-11,72134.96,35081.28,37053.68000000001
Porter PLC,2008-10,95402.23,28631.58,66770.65
Gomez-Morris,1994-07,26018.61,20315.99,5702.619999999999
"Welch, White and Smith",1991-06,46244.21,13385.92,32858.29
"Rich, Murray and Burnett",1999-03,48573.31,28187.58,20385.729999999996
Johnson Group,1992-09,43274.41,40499.55,2774.8600000000006
Alvarado-Benson,1976-03,57485.29,39500.21,17985.08
"Wilson, Garza and Torres",2021-11,58453.24,17935.2,40518.03999999999
Flores-Carpenter,2009-06,64400.73,47069.51,17331.22
Kerr-Ritter,2013-04,62399.28,28268.54,34130.74
Nolan-Austin,1976-10,11934.82,10232.32,1702.5
Prince Inc,1997-08,15475.14,14279.03,1196.1099999999988
Taylor-Mcintosh,2007-01,40689.75,17909.69,22780.06
Brown and Sons,2014-08,38032.91,12297.08,25735.83
Roberts Inc,1982-02,50858.51,39189.17,11669.340000000004
"King, Patel and Lopez",1984-02,19341.36,18645.45,695.9099999999999
Young-Sawyer,1992-07,51759.03,29887.16,21871.87
English-Gates,2009-05,36029.69,31276.35,4753.340000000004
Carter PLC,1982-03,99375.88,24973.31,74402.57
"Nguyen, Golden and Harper",1999-12,91407.28,51152.83,40254.45
Willis LLC,1992-11,20814.92,12852.88,7962.039999999999
Hill Group,2015-01,64121.25,28333.63,35787.619999999995
"Thomas, Hensley and Murphy",1972-08,61716.28,24869.89,36846.39
Hall and Sons,1996-09,17075.15,13252.86,3822.290000000001
Johnson-Palmer,1988-09,78407.65,25262.42,53145.229999999996
Ramirez PLC,1988-03,57719.13,44400.34,13318.79
Chapman Group,2018-03,98066.66,72693.5,25373.160000000003
George-Freeman,1980-07,12648.89,11247.69,1401.199999999999
"Carpenter, Williams and Love",2012-03,71496.64,43338.5,28158.14
Vazquez Ltd,2011-09,54506.28,43969.67,10536.61
Allen-Harris,1999-11,64720.47,34767.39,29953.08
Smith-Christian,2024-03,48426.27,31056.1,17370.17
"York, Harrington and Green",2006-12,71676.73,42983.61,28693.119999999995
Rose-Hamilton,2008-01,15555.79,14986.37,569.4200000000001
Mills PLC,1973-01,85911.95,56622.33,29289.619999999995
Torres PLC,2015-07,64470.66,23213.56,41257.100000000006
Hoffman PLC,1982-07,73477.09,47424.5,26052.589999999997
Smith-Hernandez,1973-08,84536.49,49538.21,34998.280000000006
"Stewart, Valenzuela and Villarreal",1989-12,81256.74,12384.87,68871.87000000001
"Garrison, Davis and Gutierrez",1985-01,55726.49,36117.74,19608.75
Johnson-Fleming,2004-09,37129.8,16737.36,20392.440000000002
